,id,name,height,width,water,light,humidity,temperature,toxicity,difficulty,leaf_green,leaf_multicolored,leaf_oblong,leaf_oval,leaf_teardrop,leaf_triangular,leaf_spear,leaf_heart,leaf_wavy,leaf_palmate,leaf_split,leaf_round,leaf_ribbon,leaf_pattern,growth_cluster,growth_dense,growth_upright,growth_shrubby,growth_cascading,growth_tree
0,1,Moth Orchid,0.1282051282051282,0.06872217689411832,0.5,1.0,0.5,1.0,0.0,0.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,Nerve Plant,0.0,0.1203246446515223,1.0,1.0,1.0,1.0,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,3,Croton,0.23076923076923078,0.4815419189533502,0.5,1.0,1.0,0.0,0.5,0.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,4,Pencil Cactus,0.28205128205128205,0.17192711240892627,0.0,1.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,5,Burro's Tail,0.1282051282051282,0.1206896551724138,0.0,1.0,0.0,0.0,0.5,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,6,Bird of Paradise,0.38461538461538464,0.27513204792373425,0.0,1.0,0.0,1.0,0.5,0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,7,Stromanthe Triostar,0.07692307692307693,0.17192711240892627,1.0,0.5,1.0,0.0,0.0,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
7,8,Mini Monstera,0.38461538461538464,0.17192711240892627,0.5,0.0,0.5,0.0,0.5,0.25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,9,Oxalis,0.02564102564102564,0.017241379310344827,1.0,1.0,0.5,0.0,0.5,0.25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9,10,Yucca,0.38461538461538464,0.27513204792373425,0.0,1.0,0.0,1.0,0.5,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,11,Caladium,0.1282051282051282,0.17192711240892627,0.5,1.0,1.0,1.0,0.5,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
11,12,Monstera,0.4358974358974359,0.27513204792373425,0.5,0.0,0.5,0.0,0.5,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
12,13,Chinese Evergreen,0.07692307692307693,0.17192711240892627,0.5,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13,14,Ficus Audrey,0.4358974358974359,0.3783369834385422,0.5,1.0,0.5,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
